Time,User,Thread ID,Server ID,Command,Argument
2024-05-17 17:42:10.683735,[thaituan] @ localhost [127.0.0.1],21,1,Connect,thaituan@localhost on testdb using SSL/TLS
2024-05-17 17:42:10.687813,thaituan[thaituan] @ localhost [127.0.0.1],21,1,Query,SET NAMES 'utf8mb4' COLLATE 'utf8mb4_general_ci'
2024-05-17 17:42:10.688280,thaituan[thaituan] @ localhost [127.0.0.1],21,1,Query,SET NAMES utf8mb4
2024-05-17 17:42:10.688561,thaituan[thaituan] @ localhost [127.0.0.1],21,1,Query,set autocommit=0
2024-05-17 17:42:10.690430,thaituan[thaituan] @ localhost [127.0.0.1],21,1,Query,"SELECT event_time, user_host, thread_id, server_id, command_type, argument FROM mysql.general_log"
2024-05-17 17:42:10.771013,thaituan[thaituan] @ localhost [127.0.0.1],21,1,Quit,
2024-05-17 17:46:03.513429,[thaituan] @ localhost [127.0.0.1],22,1,Connect,thaituan@localhost on testdb using SSL/TLS
2024-05-17 17:46:03.514389,thaituan[thaituan] @ localhost [127.0.0.1],22,1,Query,SET NAMES 'utf8mb4' COLLATE 'utf8mb4_general_ci'
2024-05-17 17:46:03.514710,thaituan[thaituan] @ localhost [127.0.0.1],22,1,Query,SET NAMES utf8mb4
2024-05-17 17:46:03.514890,thaituan[thaituan] @ localhost [127.0.0.1],22,1,Query,set autocommit=0
2024-05-17 17:46:03.515277,thaituan[thaituan] @ localhost [127.0.0.1],22,1,Query,"SELECT event_time, user_host, thread_id, server_id, command_type, argument FROM mysql.general_log"
2024-05-17 17:46:03.612113,thaituan[thaituan] @ localhost [127.0.0.1],22,1,Quit,
2024-05-17 17:50:35.682301,[thaituan] @ localhost [127.0.0.1],23,1,Connect,thaituan@localhost on testdb using SSL/TLS
2024-05-17 17:50:35.684534,thaituan[thaituan] @ localhost [127.0.0.1],23,1,Query,SET NAMES 'utf8mb4' COLLATE 'utf8mb4_general_ci'
2024-05-17 17:50:35.686087,thaituan[thaituan] @ localhost [127.0.0.1],23,1,Query,SET NAMES utf8mb4
2024-05-17 17:50:35.686387,thaituan[thaituan] @ localhost [127.0.0.1],23,1,Query,set autocommit=0
2024-05-17 17:50:35.686893,thaituan[thaituan] @ localhost [127.0.0.1],23,1,Query,"SELECT event_time, user_host, thread_id, server_id, command_type, argument FROM mysql.general_log"
2024-05-17 17:50:40.655751,thaituan[thaituan] @ localhost [127.0.0.1],23,1,Quit,
2024-05-17 17:55:05.190452,[thaituan] @ localhost [127.0.0.1],24,1,Connect,thaituan@localhost on testdb using SSL/TLS
2024-05-17 17:55:05.191377,thaituan[thaituan] @ localhost [127.0.0.1],24,1,Query,SET NAMES 'utf8mb4' COLLATE 'utf8mb4_general_ci'
2024-05-17 17:55:05.191677,thaituan[thaituan] @ localhost [127.0.0.1],24,1,Query,SET NAMES utf8mb4
2024-05-17 17:55:05.191856,thaituan[thaituan] @ localhost [127.0.0.1],24,1,Query,set autocommit=0
2024-05-17 17:55:05.192222,thaituan[thaituan] @ localhost [127.0.0.1],24,1,Query,"SELECT event_time, user_host, thread_id, server_id, command_type, argument FROM mysql.general_log"
2024-05-17 17:55:09.221642,thaituan[thaituan] @ localhost [127.0.0.1],24,1,Quit,
2024-05-17 17:55:11.708753,[thaituan] @ localhost [127.0.0.1],25,1,Connect,thaituan@localhost on testdb using SSL/TLS
2024-05-17 17:55:11.710896,thaituan[thaituan] @ localhost [127.0.0.1],25,1,Query,SET NAMES 'utf8mb4' COLLATE 'utf8mb4_general_ci'
2024-05-17 17:55:11.713095,thaituan[thaituan] @ localhost [127.0.0.1],25,1,Query,SET NAMES utf8mb4
2024-05-17 17:55:11.713345,thaituan[thaituan] @ localhost [127.0.0.1],25,1,Query,set autocommit=0
2024-05-17 17:55:11.713808,thaituan[thaituan] @ localhost [127.0.0.1],25,1,Query,"SELECT event_time, user_host, thread_id, server_id, command_type, argument FROM mysql.general_log"
